Completed cohort fertility and completed cohort fertility by age 40
Last modified: 2026-03-23
Code    Cohort     CCF     CCF40
FIN     1933     2.354     2.323
FIN     1934     2.325     2.296
FIN     1935     2.299     2.269
FIN     1936     2.245     2.214
FIN     1937     2.175     2.143
FIN     1938     2.144     2.112
FIN     1939     2.108     2.074
FIN     1940     2.034     2.002
FIN     1941     1.973     1.939
FIN     1942     1.953     1.916
FIN     1943     1.921     1.885
FIN     1944     1.892     1.855
FIN     1945     1.881     1.845
FIN     1946     1.864     1.830
FIN     1947     1.863     1.825
FIN     1948     1.850     1.811
FIN     1949     1.859     1.818
FIN     1950     1.847     1.806
FIN     1951     1.864     1.823
FIN     1952     1.853     1.812
FIN     1953     1.859     1.817
FIN     1954     1.882     1.839
FIN     1955     1.896     1.853
FIN     1956     1.912     1.864
FIN     1957     1.934     1.886
FIN     1958     1.946     1.897
FIN     1959     1.947     1.897
FIN     1960     1.962     1.910
FIN     1961     1.952     1.898
FIN     1962     1.941     1.884
FIN     1963     1.943     1.887
FIN     1964     1.920     1.862
FIN     1965     1.925     1.864
FIN     1966     1.901     1.842
FIN     1967     1.890     1.827
FIN     1968     1.914     1.849
FIN     1969     1.904     1.836
FIN     1970     1.887     1.819
FIN     1971     1.893     1.827
FIN     1972     1.909     1.838
FIN     1973     1.898     1.828
FIN     1974     1.892     1.822
FIN     1975         .     1.837
FIN     1976         .     1.824
FIN     1977         .     1.825
FIN     1978         .     1.806
FIN     1979         .     1.784
FIN     1980         .     1.754
FIN     1981         .     1.740
FIN     1982         .     1.724
FIN     1983         .     1.710
FIN     1984         .     1.693
FRATNP  1931     2.626     2.576
FRATNP  1932     2.630     2.584
FRATNP  1933     2.617     2.578
FRATNP  1934     2.602     2.569
FRATNP  1935     2.589     2.561
FRATNP  1936     2.548     2.522
FRATNP  1937     2.531     2.507
FRATNP  1938     2.489     2.466
FRATNP  1939     2.448     2.426
FRATNP  1940     2.423     2.395
FRATNP  1941     2.373     2.348
FRATNP  1942     2.313     2.288
FRATNP  1943     2.292     2.268
FRATNP  1944     2.268     2.243
FRATNP  1945     2.228     2.202
FRATNP  1946     2.174     2.149
FRATNP  1947     2.135     2.107
FRATNP  1948     2.119     2.090
FRATNP  1949     2.107     2.077
FRATNP  1950     2.117     2.085
FRATNP  1951     2.113     2.081
FRATNP  1952     2.123     2.089
FRATNP  1953     2.120     2.086
FRATNP  1954     2.124     2.089
FRATNP  1955     2.132     2.095
FRATNP  1956     2.141     2.102
FRATNP  1957     2.136     2.094
FRATNP  1958     2.136     2.092
FRATNP  1959     2.121     2.075
FRATNP  1960     2.118     2.069
FRATNP  1961     2.093     2.044
FRATNP  1962     2.082     2.031
FRATNP  1963     2.068     2.014
FRATNP  1964     2.046     1.990
FRATNP  1965     2.036     1.976
FRATNP  1966     2.022     1.960
FRATNP  1967     2.017     1.955
FRATNP  1968     2.013     1.949
FRATNP  1969     2.004     1.936
FRATNP  1970     2.005     1.935
FRATNP  1971     1.994     1.924
FRATNP  1972     1.993     1.921
FRATNP  1973     2.003     1.929
FRATNP  1974         .     1.942
FRATNP  1975         .     1.954
FRATNP  1976         .     1.957
FRATNP  1977         .     1.976
FRATNP  1978         .     1.979
FRATNP  1979         .     1.991
FRATNP  1980         .     1.971
FRATNP  1981         .     1.974
FRATNP  1982         .     1.976
FRATNP  1983         .     1.970
GBR_NIR 1959     2.461     2.415
GBR_NIR 1960     2.423     2.378
GBR_NIR 1961     2.386     2.336
GBR_NIR 1962     2.337     2.288
GBR_NIR 1963     2.316     2.268
GBR_NIR 1964     2.281     2.227
GBR_NIR 1965     2.235     2.178
GBR_NIR 1966     2.206     2.147
GBR_NIR 1967     2.172     2.108
GBR_NIR 1968     2.156     2.087
GBR_NIR 1969     2.123     2.055
GBR_NIR 1970     2.117     2.046
GBR_NIR 1971     2.072     1.997
GBR_NIR 1972     2.035     1.959
GBR_NIR 1973         .     1.952
GBR_NIR 1974         .     1.926
GBR_NIR 1975         .     1.944
GBR_NIR 1976         .     1.961
GBR_NIR 1977         .     1.957
GBR_NIR 1978         .     1.969
GBR_NIR 1979         .     2.037
GBR_NIR 1980         .     2.052
GBR_NIR 1981         .     1.997
GBR_NIR 1982         .     1.986
GBR_NP  1959     1.983     1.940
GBR_NP  1960     1.980     1.935
GBR_NP  1961     1.952     1.905
GBR_NP  1962     1.933     1.884
GBR_NP  1963     1.929     1.876
GBR_NP  1964     1.925     1.869
GBR_NP  1965     1.917     1.857
GBR_NP  1966     1.905     1.843
GBR_NP  1967     1.906     1.842
GBR_NP  1968     1.911     1.844
GBR_NP  1969     1.905     1.835
GBR_NP  1970     1.903     1.832
GBR_NP  1971     1.895     1.822
GBR_NP  1972     1.882     1.808
GBR_NP  1973         .     1.809
GBR_NP  1974         .     1.819
GBR_NP  1975         .     1.830
GBR_NP  1976         .     1.843
GBR_NP  1977         .     1.845
GBR_NP  1978         .     1.847
GBR_NP  1979         .     1.870
GBR_NP  1980         .     1.883
GBR_NP  1981         .     1.869
GBR_NP  1982         .     1.859
GBR_SCO 1930     2.544     2.501
GBR_SCO 1931     2.543     2.507
GBR_SCO 1932     2.548     2.517
GBR_SCO 1933     2.587     2.558
GBR_SCO 1934     2.604     2.580
GBR_SCO 1935     2.579     2.557
GBR_SCO 1936     2.558     2.537
GBR_SCO 1937     2.539     2.519
GBR_SCO 1938     2.527     2.508
GBR_SCO 1939     2.512     2.493
GBR_SCO 1940     2.444     2.425
GBR_SCO 1941     2.356     2.338
GBR_SCO 1942     2.329     2.310
GBR_SCO 1943     2.328     2.309
GBR_SCO 1944     2.266     2.250
GBR_SCO 1945     2.149     2.133
GBR_SCO 1946     2.202     2.185
GBR_SCO 1947     2.220     2.203
GBR_SCO 1948     2.121     2.103
GBR_SCO 1949     2.094     2.075
GBR_SCO 1950     2.058     2.038
GBR_SCO 1951     2.016     1.994
GBR_SCO 1952     2.003     1.981
GBR_SCO 1953     1.974     1.951
GBR_SCO 1954     1.939     1.914
GBR_SCO 1955     1.933     1.906
GBR_SCO 1956     1.931     1.904
GBR_SCO 1957     1.925     1.894
GBR_SCO 1958     1.903     1.872
GBR_SCO 1959     1.888     1.857
GBR_SCO 1960     1.877     1.844
GBR_SCO 1961     1.868     1.832
GBR_SCO 1962     1.861     1.822
GBR_SCO 1963     1.846     1.804
GBR_SCO 1964     1.822     1.778
GBR_SCO 1965     1.803     1.756
GBR_SCO 1966     1.777     1.728
GBR_SCO 1967     1.781     1.728
GBR_SCO 1968     1.785     1.732
GBR_SCO 1969     1.754     1.698
GBR_SCO 1970     1.749     1.691
GBR_SCO 1971     1.741     1.682
GBR_SCO 1972     1.722     1.662
GBR_SCO 1973         .     1.664
GBR_SCO 1974         .     1.667
GBR_SCO 1975         .     1.663
