Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 2026-03-23
Code    Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
CZE     1969     1.905     0.928     0.717     0.188     0.047     0.025     1.872     0.923     0.708     0.178     0.042     0.021
CZE     1970     1.881     0.924     0.711     0.181     0.042     0.022     1.848     0.919     0.702     0.171     0.037     0.019
CZE     1971     1.874     0.919     0.706     0.183     0.043     0.024     1.838     0.912     0.695     0.172     0.039     0.021
CZE     1972         .         .         .         .         .         .     1.799     0.895     0.681     0.166     0.037     0.019
CZE     1973         .         .         .         .         .         .     1.781     0.894     0.674     0.160     0.035     0.018
CZE     1974         .         .         .         .         .         .     1.776     0.894     0.672     0.156     0.035     0.018
CZE     1975         .         .         .         .         .         .     1.725     0.873     0.652     0.152     0.032     0.017
CZE     1976         .         .         .         .         .         .     1.713     0.871     0.648     0.146     0.031     0.017
CZE     1977         .         .         .         .         .         .     1.689     0.859     0.637     0.144     0.031     0.017
CZE     1978         .         .         .         .         .         .     1.662     0.849     0.623     0.145     0.031     0.016
CZE     1979         .         .         .         .         .         .     1.650     0.841     0.618     0.142     0.031     0.018
CZE     1980         .         .         .         .         .         .     1.641     0.836     0.611     0.146     0.032     0.017
CZE     1981         .         .         .         .         .         .     1.626     0.827     0.604     0.146     0.031     0.019
DEUTE   1941         .         .         .         .         .         .     1.945     0.902     0.623     0.260     0.098     0.061
DEUTE   1942         .         .         .         .         .         .     1.893     0.894     0.618     0.244     0.087     0.051
DEUTE   1943         .         .         .         .         .         .     1.884     0.907     0.625     0.231     0.078     0.042
DEUTE   1944         .         .         .         .         .         .     1.867     0.914     0.626     0.220     0.069     0.037
DEUTE   1945         .         .         .         .         .         .     1.854     0.914     0.626     0.211     0.067     0.037
DEUTE   1946         .         .         .         .         .         .     1.858     0.925     0.634     0.203     0.062     0.035
DEUTE   1947         .         .         .         .         .         .     1.829     0.926     0.634     0.186     0.054     0.029
DEUTE   1948         .         .         .         .         .         .     1.821     0.925     0.639     0.178     0.050     0.027
DEUTE   1949         .         .         .         .         .         .     1.797     0.927     0.632     0.168     0.046     0.024
DEUTE   1950         .         .         .         .         .         .     1.784     0.927     0.631     0.159     0.043     0.024
DNK     1953     1.853     0.871     0.685     0.225     0.054     0.018     1.826     0.866     0.678     0.218     0.049     0.015
DNK     1954     1.851     0.868     0.685     0.225     0.054     0.019     1.823     0.863     0.677     0.217     0.050     0.016
DNK     1955     1.838     0.857     0.680     0.228     0.054     0.020     1.809     0.852     0.671     0.220     0.050     0.016
DNK     1956     1.848     0.860     0.680     0.232     0.056     0.021     1.817     0.854     0.671     0.224     0.051     0.017
DNK     1957     1.861     0.858     0.687     0.239     0.058     0.020     1.830     0.853     0.676     0.231     0.053     0.017
DNK     1958     1.864     0.856     0.685     0.242     0.060     0.021     1.831     0.850     0.674     0.234     0.056     0.018
DNK     1959     1.877     0.853     0.688     0.250     0.062     0.024     1.843     0.846     0.678     0.241     0.058     0.020
DNK     1960     1.900     0.856     0.695     0.258     0.065     0.025     1.862     0.849     0.684     0.249     0.059     0.020
DNK     1961     1.908     0.855     0.700     0.261     0.066     0.025     1.869     0.848     0.689     0.252     0.060     0.021
DNK     1962     1.916     0.854     0.707     0.263     0.067     0.026     1.877     0.846     0.695     0.254     0.062     0.021
DNK     1963     1.923     0.854     0.709     0.266     0.067     0.027     1.882     0.845     0.696     0.256     0.061     0.023
DNK     1964     1.933     0.859     0.713     0.266     0.066     0.028     1.889     0.850     0.700     0.255     0.061     0.023
DNK     1965     1.935     0.861     0.715     0.267     0.066     0.027     1.889     0.851     0.701     0.255     0.060     0.022
DNK     1966     1.931     0.858     0.716     0.265     0.065     0.027     1.882     0.847     0.701     0.252     0.059     0.023
DNK     1967     1.943     0.859     0.722     0.266     0.066     0.029     1.892     0.848     0.706     0.254     0.060     0.024
DNK     1968     1.969     0.866     0.728     0.273     0.070     0.032     1.915     0.854     0.711     0.261     0.063     0.027
DNK     1969     1.982     0.869     0.728     0.280     0.072     0.033     1.929     0.856     0.711     0.268     0.066     0.028
DNK     1970     1.971     0.867     0.726     0.277     0.071     0.031     1.916     0.853     0.708     0.264     0.065     0.026
DNK     1971     1.952     0.862     0.722     0.271     0.068     0.028     1.895     0.848     0.703     0.259     0.062     0.023
DNK     1972     1.958     0.867     0.724     0.273     0.068     0.027     1.901     0.852     0.704     0.260     0.062     0.023
DNK     1973     1.962     0.869     0.729     0.271     0.066     0.027     1.902     0.854     0.709     0.258     0.060     0.022
DNK     1974     1.958     0.869     0.726     0.271     0.065     0.026     1.895     0.853     0.705     0.257     0.058     0.022
DNK     1975         .         .         .         .         .         .     1.892     0.852     0.705     0.257     0.058     0.020
DNK     1976         .         .         .         .         .         .     1.892     0.854     0.707     0.254     0.057     0.019
DNK     1977         .         .         .         .         .         .     1.879     0.855     0.702     0.249     0.055     0.018
DNK     1978         .         .         .         .         .         .     1.862     0.852     0.698     0.244     0.052     0.016
DNK     1979         .         .         .         .         .         .     1.850     0.850     0.691     0.241     0.051     0.017
DNK     1980         .         .         .         .         .         .     1.830     0.845     0.683     0.236     0.049     0.017
DNK     1981         .         .         .         .         .         .     1.811     0.836     0.679     0.232     0.048     0.017
DNK     1982         .         .         .         .         .         .     1.797     0.832     0.672     0.230     0.048     0.016
DNK     1983         .         .         .         .         .         .     1.781     0.829     0.669     0.223     0.045     0.015
DNK     1984         .         .         .         .         .         .     1.760     0.825     0.661     0.218     0.043     0.013
ESP     1960     1.750     0.905     0.630     0.161     0.036     0.018     1.709     0.892     0.616     0.152     0.033     0.016
ESP     1961     1.710     0.896     0.618     0.149     0.032     0.016     1.667     0.882     0.602     0.140     0.029     0.013
ESP     1962     1.680     0.889     0.609     0.139     0.029     0.014     1.634     0.874     0.592     0.130     0.026     0.012
ESP     1963     1.658     0.887     0.599     0.131     0.027     0.013     1.608     0.871     0.580     0.122     0.024     0.011
ESP     1964     1.638     0.883     0.592     0.125     0.025     0.013     1.585     0.866     0.572     0.116     0.022     0.010
ESP     1965     1.602     0.869     0.580     0.118     0.023     0.012     1.547     0.850     0.558     0.109     0.020     0.010
ESP     1966     1.574     0.858     0.569     0.113     0.022     0.012     1.515     0.838     0.546     0.103     0.019     0.009
ESP     1967     1.555     0.853     0.561     0.109     0.021     0.011     1.493     0.831     0.536     0.099     0.018     0.009
